variant,depth,threads,run,elapsed_sec
normal,10,1,1,0.10
normal,10,2,1,0.17
normal,10,3,1,0.29
normal,10,4,1,0.21
normal,10,5,1,0.31
normal,10,6,1,0.29
normal,10,7,1,0.47
normal,10,8,1,0.54
normal,11,1,1,0.10
normal,11,2,1,0.21
normal,11,3,1,0.31
normal,11,4,1,0.36
normal,11,5,1,0.57
normal,11,6,1,0.76
normal,11,7,1,0.81
normal,11,8,1,0.98
normal,12,1,1,0.13
normal,12,2,1,0.41
normal,12,3,1,0.54
normal,12,4,1,0.98
normal,12,5,1,1.32
normal,12,6,1,1.74
normal,12,7,1,2.02
normal,12,8,1,2.46
normal,13,1,1,0.24
normal,13,2,1,0.95
normal,13,3,1,1.06
normal,13,4,1,1.76
normal,13,5,1,2.71
normal,13,6,1,3.43
normal,13,7,1,4.18
normal,13,8,1,5.27
normal,14,1,1,0.44
normal,14,2,1,2.07
normal,14,3,1,2.37
normal,14,4,1,4.99
normal,14,5,1,6.70
normal,14,6,1,8.77
normal,14,7,1,10.89
normal,14,8,1,13.41
zero,10,1,1,0.10
zero,10,2,1,0.13
zero,10,3,1,0.20
zero,10,4,1,0.27
zero,10,5,1,0.30
zero,10,6,1,0.26
zero,10,7,1,0.40
zero,10,8,1,0.60
zero,11,1,1,0.08
zero,11,2,1,0.24
zero,11,3,1,0.33
zero,11,4,1,0.40
zero,11,5,1,0.55
zero,11,6,1,0.78
zero,11,7,1,0.88
zero,11,8,1,1.17
zero,12,1,1,0.14
zero,12,2,1,0.56
zero,12,3,1,0.55
zero,12,4,1,0.92
zero,12,5,1,1.34
zero,12,6,1,1.83
zero,12,7,1,2.31
zero,12,8,1,2.70
zero,13,1,1,0.20
zero,13,2,1,1.05
zero,13,3,1,0.91
zero,13,4,1,1.93
zero,13,5,1,2.98
zero,13,6,1,3.56
zero,13,7,1,4.67
zero,13,8,1,5.50
zero,14,1,1,0.44
zero,14,2,1,2.21
zero,14,3,1,2.47
zero,14,4,1,4.82
zero,14,5,1,6.65
zero,14,6,1,8.96
zero,14,7,1,10.89
zero,14,8,1,13.87
zero_offheap,10,1,1,0.11
zero_offheap,10,2,1,0.17
zero_offheap,10,3,1,0.26
zero_offheap,10,4,1,0.30
zero_offheap,10,5,1,0.30
zero_offheap,10,6,1,0.33
zero_offheap,10,7,1,0.49
zero_offheap,10,8,1,0.60
zero_offheap,11,1,1,0.08
zero_offheap,11,2,1,0.24
zero_offheap,11,3,1,0.30
zero_offheap,11,4,1,0.50
zero_offheap,11,5,1,0.62
zero_offheap,11,6,1,0.81
zero_offheap,11,7,1,0.86
zero_offheap,11,8,1,1.18
zero_offheap,12,1,1,0.14
zero_offheap,12,2,1,0.54
zero_offheap,12,3,1,0.60
zero_offheap,12,4,1,1.13
zero_offheap,12,5,1,1.34
zero_offheap,12,6,1,1.87
zero_offheap,12,7,1,2.34
zero_offheap,12,8,1,2.80
zero_offheap,13,1,1,0.20
zero_offheap,13,2,1,0.95
zero_offheap,13,3,1,1.00
zero_offheap,13,4,1,2.17
zero_offheap,13,5,1,2.93
zero_offheap,13,6,1,3.93
zero_offheap,13,7,1,4.81
zero_offheap,13,8,1,6.13
zero_offheap,14,1,1,0.46
zero_offheap,14,2,1,2.35
zero_offheap,14,3,1,2.78
zero_offheap,14,4,1,5.24
zero_offheap,14,5,1,6.84
zero_offheap,14,6,1,9.77
zero_offheap,14,7,1,12.01
zero_offheap,14,8,1,14.45
zero_offheap_threaded,10,1,1,0.06
zero_offheap_threaded,10,2,1,0.15
zero_offheap_threaded,10,3,1,0.23
zero_offheap_threaded,10,4,1,0.23
zero_offheap_threaded,10,5,1,0.31
zero_offheap_threaded,10,6,1,0.38
zero_offheap_threaded,10,7,1,0.50
zero_offheap_threaded,10,8,1,0.66
zero_offheap_threaded,11,1,1,0.08
zero_offheap_threaded,11,2,1,0.28
zero_offheap_threaded,11,3,1,0.29
zero_offheap_threaded,11,4,1,0.46
zero_offheap_threaded,11,5,1,0.62
zero_offheap_threaded,11,6,1,0.71
zero_offheap_threaded,11,7,1,1.00
zero_offheap_threaded,11,8,1,1.14
zero_offheap_threaded,12,1,1,0.15
zero_offheap_threaded,12,2,1,0.60
zero_offheap_threaded,12,3,1,0.49
zero_offheap_threaded,12,4,1,1.26
zero_offheap_threaded,12,5,1,1.40
zero_offheap_threaded,12,6,1,2.07
zero_offheap_threaded,12,7,1,2.31
zero_offheap_threaded,12,8,1,2.75
zero_offheap_threaded,13,1,1,0.22
zero_offheap_threaded,13,2,1,1.00
zero_offheap_threaded,13,3,1,1.08
zero_offheap_threaded,13,4,1,1.99
zero_offheap_threaded,13,5,1,2.63
zero_offheap_threaded,13,6,1,3.56
zero_offheap_threaded,13,7,1,4.78
zero_offheap_threaded,13,8,1,5.70
zero_offheap_threaded,14,1,1,0.42
zero_offheap_threaded,14,2,1,1.96
zero_offheap_threaded,14,3,1,2.48
zero_offheap_threaded,14,4,1,4.91
zero_offheap_threaded,14,5,1,6.64
zero_offheap_threaded,14,6,1,8.97
zero_offheap_threaded,14,7,1,11.15
zero_offheap_threaded,14,8,1,13.60
zero_stack_threaded,10,1,1,0.08
zero_stack_threaded,10,2,1,0.18
zero_stack_threaded,10,3,1,0.24
zero_stack_threaded,10,4,1,0.38
zero_stack_threaded,10,5,1,0.32
zero_stack_threaded,10,6,1,0.50
zero_stack_threaded,10,7,1,0.50
zero_stack_threaded,10,8,1,0.55
zero_stack_threaded,11,1,1,0.10
zero_stack_threaded,11,2,1,0.23
zero_stack_threaded,11,3,1,0.32
zero_stack_threaded,11,4,1,0.47
zero_stack_threaded,11,5,1,0.66
zero_stack_threaded,11,6,1,0.76
zero_stack_threaded,11,7,1,0.91
zero_stack_threaded,11,8,1,1.06
zero_stack_threaded,12,1,1,0.14
zero_stack_threaded,12,2,1,0.52
zero_stack_threaded,12,3,1,0.53
zero_stack_threaded,12,4,1,1.13
zero_stack_threaded,12,5,1,1.28
